name,description,cuisine,address
Joia Burger,"A year after the original debuted in Mt. Pleasant, nostalgia-inducing burger bar Joia added a second (and much-bigger) D.C. location in April. Joy-filled Joia comes from chef/owner Patrice Cleary, who's also behind essential Filipino place Purple Patch in Mt. Pleasant. Joia 2.0 in Glover Park continues to showcase its wagyu beef (or veggie bean) smash burgers assembled with one, two, or three patties with diced papaya slaw on a potato or gluten-free bun. Skin-on shoestring fries and ube soft serve round out the pint-sized menu.","American Burger Bar","2414 Wisconsin Avenue Northwest, Washington, District of Columbia 20007"
Elmina,"Food Network star Eric Adjepong puts a modern spin on traditional West African food at his first brick-and-mortar restaurant. Open since February, Elmina showcases classic Ghanaian dishes like fufu and kelewele (spicy fried plantains) across a la carte and tasting menus, along with new interpretations like spicy cassava udon noodles and egusi hummus. Situated in Seven Reasons' former 14th Street NW home, two-story Elmina carves out room for 124 diners. The Top Chef Season 16 finalist also introduces the same roti flatbreads and doubles that were supposed to be featured at On the Double, his fast-casual Union Market stall that fell through during the pandemic. Cocktails turn to regional flavors like mango, hibiscus, soursop, and passionfruit.","Modern West African","2208 14th Street Northwest, Washington, District of Columbia 20009"
Mélange Foods Inc.,"Top Ethiopian chef Elias Taddesse's beefy burger shop, Mélange DC, and fried chicken joint, Doro Soul Food, are back and better than ever at his new culinary incubator at the foot of Shaw's Atlantic Plumbing building. Taddesse's Mélange Foods, Inc. opened in mid-May with both concepts and will add a third Ethiopian taco spot called Moya soon. The space that formerly housed Roy Boys features a roll-up garage bar situation prime for people-watching.","Ethiopian Fusion","2108 8th Street Northwest, Washington, District of Columbia 20001"
Sagrada,"Knead Hospitality + Design transformed the mezzanine level of its 14th Street NW Mexican restaurant Mi Vida into Sagrada, a trippy, sage-scented tasting room that explores the transformative power of psychedelics—through food. While no actual psilocybin is used, the $111-per-person affair mirror the stages of a psychedelic trip across an eight-course journey, from ceremonial cacao poured in clay cups to visually immersive dishes full of mushrooms and beets. Hours are Monday to Friday, with two seatings nightly for a choice of "plant-based" or "flexitarian" menu options.","Experimental Tasting Menu","1901 14th St NW (at T St NW), Washington, D.C. 20009"
Casamara and Reynold's,"Hospitality magnate Jason Pomeranc's bi-coastal brand Sixty Hotels, with locations in NYC and Los Angeles, revitalizes the prime Dupont real estate where club Gryphon and cult cocktail bar Sheppard once sat. Years in the making, Sixty DC's 80-room boutique hotel opened in late May with a pair of dining destinations led by Hanif Harji of Toronto's Scale Hospitality. Anchor restaurant Casamara celebrates the coastal flavors of Spain, France, Italy, and Greece with dishes like citrusy branzino crudo, Iberico pork chop, harissa roast chicken, truffle bucatini cacio e pepe, and lamb rotolo. Retro-chic cocktail counterpart Reynold's in the back slings all sorts of martinis and fancy bar snacks like mini lobster rolls, foie-gras poutine, and truffle popcorn. A 3,000-square-foot rooftop is coming soon.","Mediterranean","1337 Connecticut Avenue Northwest, Washington, District of Columbia 20036"
Sushi Gaku,"A parade of sashimi, Japanese plates, and ever-elusive pufferfish now have a home in the depths of Wisconsin Avenue NW. After closing downtown Sushi Gakyu earlier this year, sushi chef Yoshi Ota moved on to Georgetown with the May opening of Sushi Gaku. Traditional nigiri, maki, and an omakase tasting featuring fermented ancient-style sushi round out the new menu. Dinner is served from 5 to 10 p.m. every night except Tuesdays. A zen patio out back is framed in stone and greenery.","Japanese","1338 Wisconsin Avenue Northwest, Washington, District of Columbia 20007"
Alara,"D.C. hitmaker Hakan Ilhan calls his latest project Alara, which refers to a "beautiful water fairy" in Turkish mythology. Seasonal menus and wines focus on the four coastal countries of Turkey, Greece, Lebanon, and Israel. The restaurant kicks off with a selection of meze and hot and cold dips like red pepper-and-walnut muhammara, followed by lots of meaty mains like lamb chops, and Greek interpretations of seafood (branzino). Alara also imports best sellers found at Ilhan's Turkish stalwart Ottoman Taverna in Mt. Vernon Triangle. Alara, which brings Georgetown a rare new late-night dining option, takes over the address that long housed Italian darling Paolo's Ristorante until 2018.","Eastern Mediterranean","1303 Wisconsin Avenue Northwest, Washington, District of Columbia 20007"
Bar Angie,"A trio of native New Yorkers behind Dupont's perennially packed Greek restaurant Balos expanded in Northwest with the mid-April opening of Bar Angie, a lively new bistro with European flair and jazz music several nights a week. Hearty dishes that remind the partners of home include wagyu French dip, Bolognese blanc rigatoni, and Caesar salads topped with fried cream-cheese croutons. Martinis are a huge focus here, as seen in the vodka-or-gin "Angie's Dirty Duo" with blue cheese olives, an extra-generous pour on the side, and extra garnishes. NY-based For Five Coffee Roasters, which is also operated by Balos Estiatorio Restaurant Group, fuels its espresso martini.","European Bistro","2300 North Street Northwest, Washington, District of Columbia 20037"
Marcus DC,"NY-based celebrity chef Marcus Samuelsson debuted his first restaurant in the nation's capital in June. Located at the foot of NoMa's Morrow Hotel, the Ethiopian and Swedish restaurateur behind Harlem's hot Red Rooster dishes out blue cornbread with yassa butter and berbere honey; cured salmon; and fluke crudo served in an apple cucumber aguachile with a crispy plantain. Chef and Maryland native Anthony Jones adds lots of local touches to the Marcus DC menu, including mambo sauce-slathered roast chicken and crab rice. The color-soaked space full of overlapping patterns and textures offers room for 80 and 12 at the bar. Samuelsson also runs its scenic new rooftop bar called Sly.","African-American Fusion","222 M Street Northeast, Washington, District of Columbia 20002"
My Little Chamomile,"Green Almond Pantry, James Beard-nominated chef Cagla Onal's longstanding staple for fluffy focaccia, chocolate cake, and Turkish-Mediterranean dishes for lunch and takeout, added a next-door sibling spot for sit-down dinner service. Nestled in a Georgetown alley, My Little Chamomile showcases a quick list of wines, meze, and other comfort foods like Onal's mom used to make. The 42-seat newcomer outfitted with a pretty walnut-and-brass bar offers an assortment of salads, smoked eggplant, artichokes filled with herb rice, and lavash designed for dipping.","Turkish-Mediterranean","3210 Cherry Hill Lane Northwest, Washington, District of Columbia 20007"
