name,description,cuisine,vibe,address
Melina,"Open for: Lunch, dinner, and weekend brunch Price range: $$ As a surge of Greek restaurants continue to open in D.C., Cava group's contemporary ode to the idyllic Mediterranean country continues to impress Pike & Rose diners four years in. Aris Tsekouras helms its open kitchen after years cooking in upscale eateries in Greece, bringing a passion for homemade breads and tangy cheeses. A year-round bounty of fresh vegetables are celebrated on the table, as is slow-roasted lamb neck kleftiko, cheese pie, grilled octopus, beef tartare, stone crab bucatini, and portobello mushroom souvlaki. The team expanded in the complex this spring with the opening of dimly lit Mediterranean steakhouse Bouboulina. Vibe check: A stucco interior framed with wooden beams feels like a Grecian getaway.","Greek","Upscale Mediterranean getaway with stucco and wooden beams","905 Rose Avenue, North Bethesda, Maryland 20852"
J. Hollinger's Waterman's Chophouse,"Open for: Dinner and AYCE Sunday brunch Price range: $$ Restaurateur Jerry Hollinger (the Daily Dish and the Dish & Dram) delivered to downtown Silver Spring an Art Deco-styled American chophouse and raw bar celebrating local farmers, watermen, and purveyors. Shrimp and pork belly toast adorned with homemade kimchi are good ways to start; follow those with Rohan duck confit, homemade spinach ricotta ravioli, halibut filet atop summer succotash, or anything from the luxe lineup of steaks. Augment dishes with underwater add-ons like butter-poached crab, lobster, jumbo shrimp, and fried oysters. A whale of a deal is in store during happy hour (4 p.m. to close and all night on Tuesdays), when oysters are just $1, and a robust bar program stars New York Sours and fig-sage rye cocktails. Vibe check: The throwback space near the Fillmore takes tips from Sinatra's era.","American Seafood & Steakhouse","Art Deco throwback with Sinatra-era charm","8606 Colesville Rd, Silver Spring, MD 20910"
Aventino Cucina,"Open for: Brunch, lunch, and dinner Price range: $$ One of the newest spots from Italian hitmaker Mike Friedman, known for Red Hen and All-Purpose, landed in Bethesda in January 2024 with dishes that evoke the longstanding culinary traditions of Rome and Italy's Lazio region. The sprawling emerald- and gold-covered dining room transports diners with airy pizza rossa, light salads like the citrus and fennel-filled agrumi, and fantastic pastas that steal the show. House-made dried pastas make up classic Roman dishes, like creamy cacio e pepe and all'amatriciana zipped up with Calabrian chiles. But there are more experimental bowls on the menu as well, like a springtime toothsome cavatelli with a crushed broccoli and ricotta sauce and toasted almond-chile crunch on top. Don't miss out on dessert options like a chocolate torte balanced with blood orange and earl grey gelato or affogato served with an Italian butter cookie and Madagascar vanilla gelato. Best for: A spritz-fueled happy hour, especially with spritz and pasta pairings for $22 from 5 to 6 p.m. Monday through Thursday at the bar.","Roman Italian","Elegant emerald and gold dining room with spritz-fueled happy hour","4747 Bethesda Avenue, Bethesda, Maryland 20814"
Cielo Rojo,"Open for: Lunch, dinner Price range: $ The Takoma Park favorite for vegan-friendly Mexican fare since 2018 moved into stylish new digs up the street last year. Husband-and-wife owners David Perez and Carolina McCandless turn to hand-pressed tortillas made with nixtamalized heirloom corn to produce an array of sophisticated tacos, ahi tuna tostadas, and savory enchiladas with tres moles. Crunchy pepitas add a pleasantly surprising crunch to quesadillas that can be ordered with vegan cashew cheese. Besides fabulous margaritas, the chic bar sends out inventive mezcal and rum-based cocktails. Brunch calls for brioche French toast with mezcal mascarpone, chilaquiles rojo, and a nopales (cactus) scramble Chef de cuisine Rachel Bindle formerly cooked at Michelin-starred Gravitas, and the growing team just flipped Cielo's old space into San Francisco-styled San Pancho Burritos. If you drive: Feel free; Takoma Park is still blessed with parking.","Vegan Mexican","Stylish and chic with inventive cocktails","7211 Carroll Avenue, Takoma Park, Maryland 20912"
2Fifty Texas BBQ (Multiple locations),"Open for: Lunch and dinner Price range: $ Riverdale Park, Maryland is long home to drive-worthy brisket, courtesy of Fernando González and Debby Portillo. The couple behind wildly successful 2Fifty pay homage to Central Texas by using oak smoke to develop a dark bark on fatty hunks of prime and American wagyu beef that jiggle on the chopping block. Beef ribs, pulled pork, sliced turkey, and St. Louis-style ribs are all available, while daily specials like brisket tacos, lamb ribs, pastrami sandwiches, and barbecue pupusas give the kitchen a creative outlet, and González and Portillo excitingly nod to their Salvadoran heritage in sides like red kidney beans braised with brisket and coleslaw interspersed with raisins. Mondays recently joined the fold (still closed Tuesdays), with preorder for pickup; devour meats there or take the loot to go. To D.C. diners' delight, 2Fifty expanded with a sit-down smokehouse in Mt. Vernon Triangle last year. Know before you go: Lines can get long, especially on weekends.","Texas BBQ","Casual smokehouse with long weekend lines","4700 Riverdale Rd, Riverdale Park, MD 20737"
Hedzole,"Open for: Lunch and dinner (closed Mondays and Tuesdays)Price range: $ Chef Candice Mensah's roving West African venture Hedzole opened a permanent home in a small Northwest space that formerly housed Social Kitchen. A daughter of Ghanaian immigrants, Mensah was born in D.C., grew up in Alexandria, Virginia, and ultimately left a career in healthcare tech to cook her native cuisine. She quickly amassed a loyal following (us included) at farmers markets in Northern Virginia and D.C. Longtime favorites that made their way to the city include her take on stewed oxtail over Ghanaian waakye and groundnut (peanut) soup, red red with fried plantains, and coconut or jollof rice. Customizable bowls offer lots of room for vegans, too; dine in or go the delivery route. Know before you go: The (12-seat) space is small.","Ghanaian","Intimate 12-seat space with farmers market roots","5505 Colorado Ave NW, Washington, D.C. 20011"
Thip Khao,"Open for: Dinner only Price range: $$ Considered the standard-bearer for Lao cuisine in D.C., Thip Khao comes from mother-and-son chefs Seng Luangrath and Boby Pradachith. Their Columbia Heights standby continues to satisfy heat-seekers with a menu full of fermented fish sauce, a heavy dose of chiles, offal, and cured meats. Hit orders include crispy tamarind-glazed wings, grilled pork shoulder with lemongrass, and a fiery Lao papaya salad with eggplant. Over in Shaw, the team's rebooted 5-year-old space that formerly housed cocktail bar Hanumanh turned into a modern Southeast Asian eatery called Baan Mae last year. The more casual Laotian spot is known for hosting chef pop-ups and also serves $15 bowls of noodles for weekday lunch. If you find yourself out in the suburbs, the family's Northern Virginia staple Padaek recently settled into a new Arlington home. Best for: Family-style dining, bring a group of friends or family that are down to try an array of dishes","Laotian","Family-style dining with heat-seeking dishes","3462 14th St NW, Washington, DC 20010"
Purple Patch,"Open for: Brunch, lunch, and dinner daily Price range: $$The Washington Post called Purple Patch the 2023 Restaurant of the Year eight years after the Mount Pleasant spot debuted as one of D.C.'s first upscale local Filipino restaurants, now the institution is celebrating 10 years of feeding D.C. diners. The sizzling, spicy pork belly and pork shoulder sisig remains a favorite dish, along with such staples as longanisa (sweet garlic sausage) and tocino (sweet grilled pork). There are also a surprising number of satisfying vegetarian dishes on the menu, with highlights like sweet and spicy calamansi tofu with pineapple fried rice and three different umami-packed vegetarian adobos (eggplant, cauliflower, or a seasonal mushroom and carrot). You also can't leave without trying an ube-flavored dessert (which you can also snag from their shop upstairs) or the ube waffle with fried chicken marinated in soy sauce and vinegar at brunch. Chef and owner Patrice Cleary, who was born in the Philippines, also opened casual Joia Burger a block away last year, serving up wagyu beef smash burgers or housemade bean burgers with chopped toppings and ube soft serve. A second Joia is already opening on April 9 in Glover Park. Even celebrities like comedian Jo Koy have made a stop in Mount Pleasant to praise Cleary's cooking.Vibe check: The small indoor space was newly renovated during the pandemic but the covered patio remans the best spot at Purple Patch, with moody twinkle lights, purple curtains, and great people watching on Mount Pleasant Street.","Filipino","Moody patio with twinkle lights and purple curtains","3155 Mount Pleasant St NW, Washington, D.C. 20010"
Perry's Restaurant,"Open for: Dinner, drag brunch and select breakfasts Price range: $$$Perry's has long been an under-the-radar reliable spot for sushi, and with Eater's 2023 Chef of the Year (and 2024 James Beard Award winner for Emerging Chef of the Year) Masako Morishita at the helm, the revitalized Adams Morgan restaurant is generating lots of attention for her flavorful Japanese creations. Standout starters include a Japanese take on ceviche with shrimp, scallops, octopus, and fish eggs; crispy kaarage fried chicken; and garlic edamame dumplings hidden under a snowy blanket of parmesan. The sleek, wood-framed restaurant with a strong sake collection continues to host one of D.C.'s best drag brunches on Sundays, with plenty of playful cocktails like the Not an Espresso Martini made with cacao nib tea. Morishita recently introduced Japanese breakfast service on select Saturdays as well, both the weekend drag brunch and breakfast service require reservations on Resy. Must-try dish: The shrimp katsu burger ($17) is a truly unique dish, combining a deep fried shrimp patty with cheddar cheese and togarashi tartar. An extra tip: catch happy hour at the bar (from 4 to 7 p.m. everyday) to get the stellar sandwich for only $12.","Japanese","Sleek wood-framed space with drag brunch and sake collection","1811 Columbia Rd NW, Washington, DC 20009"
Ceibo,"Open for: Dinner Price range: $$ Local hospitality vets Juan and Manuel Olivera granted Adams Morgan a candle-lit getaway that pays homage to the brothers' native Uruguay and its surrounding countries. Two-level Ceibo — the name refers to the flowering tree blooming at the bottom of the South American continent — captures the communal culture of asado,, Washington, DC 20009, Washington, DC 20009, pork, and chorizo over an open flame. On the seafood side, highlights include oysters adorned with caviar farmed in Uruguay and Patagonian shrimp caught off the icy Atlantic coast of Argentina. Sweet potatoes, one of Uruguay's biggest exports, play a prevalent part in the menu as savory starters, dessert, and inside drinks. A dimly lit downstairs bar spotlights South American wines, spirits, and other earthy ingredients and stays open until late on weekends; twice-a-month Tuesday tasting dinners feature five courses and optional wine pairings. Best for: Intimate date night (with a toned-down noise level on Sunday evenings)","Uruguayan","Candle-lit two-level space with late-night bar","2106 18th St NW, Washington, DC 20009, Washington, DC 20009"
